week,prediction,predicted_direction,predicted_range,confidence_raw,confidence_scoring_bucket,actual_pct,actual_direction,hit,range_result,score,prediction_source
W28,Neutral,neutral,N/A,Medium,Medium,0.16,up,False,N/A,0,sector_call_fallback
W28,Neutral,neutral,N/A,Medium,Medium,0.16,up,False,N/A,0,sector_call_fallback
W29,Neutral,neutral,N/A,Medium,Medium,-0.52,down,False,N/A,0,sector_call_fallback
W29,Neutral,neutral,N/A,Medium,Medium,-0.52,down,False,N/A,0,sector_call_fallback
W29,Neutral,neutral,N/A,Medium,Medium,0.92,up,False,N/A,0,sector_call_fallback
