week,prediction,predicted_direction,predicted_range,confidence_raw,confidence_scoring_bucket,actual_pct,actual_direction,hit,range_result,score,prediction_source
W28,Neutral-Bullish,up,N/A,Medium,Medium,-1.38,down,False,N/A,0,sector_call_fallback
W28,Neutral-Bullish,up,N/A,Medium,Medium,-1.38,down,False,N/A,0,sector_call_fallback
W29,Neutral-Bearish,down,N/A,Medium,Medium,-0.42,down,True,N/A,2,sector_call_fallback
W29,Neutral-Bearish,down,N/A,Medium,Medium,-0.42,down,True,N/A,2,sector_call_fallback
W29,Neutral-Bearish,down,N/A,Medium,Medium,1.81,up,False,N/A,0,sector_call_fallback
W30,Neutral → Up,up,-0.4% to +1.4%,Medium,Medium,-1.54,down,False,Outside range,0,sector_prediction_table
