week,prediction,predicted_direction,predicted_range,confidence_raw,confidence_scoring_bucket,actual_pct,actual_direction,hit,range_result,score,prediction_source
W28,Neutral,neutral,-0.4% to +0.8%,Medium,Medium,-0.53,down,False,Outside range,0,primary_prediction_section
W28,Neutral,neutral,-0.4% to +0.8%,Medium,Medium,-0.53,down,False,Outside range,0,primary_prediction_section
W29,Neutral,neutral,-0.4% to +0.8%,Medium,Medium,-0.55,down,False,Outside range,0,primary_prediction_section
W29,Neutral,neutral,-0.4% to +0.8%,Medium,Medium,-0.55,down,False,Outside range,0,primary_prediction_section
W29,Neutral,neutral,-0.4% to +0.8%,Medium,Medium,2.48,up,False,Outside range,0,primary_prediction_section
W30,Up,up,-0.3% to +1.5%,Medium,Medium,-4.19,down,False,Outside range,0,sector_prediction_table
