week,prediction,predicted_direction,predicted_range,confidence_raw,confidence_scoring_bucket,actual_pct,actual_direction,hit,range_result,score,prediction_source
W28,Up,up,+0.5% to +1.6%,Medium,Medium,-0.66,down,False,Outside range,0,primary_prediction_section
W28,Up,up,+0.5% to +1.6%,Medium,Medium,-0.66,down,False,Outside range,0,primary_prediction_section
W29,Neutral → Down,down,-1.3% to +0.3%,Medium,Medium,0.85,up,False,Outside range,0,primary_prediction_section
W29,Neutral → Down,down,-1.3% to +0.3%,Medium,Medium,0.85,up,False,Outside range,0,primary_prediction_section
W29,Neutral → Down,down,-1.3% to +0.3%,Medium,Medium,-0.98,down,True,Inside range,2,primary_prediction_section
W30,** Neutral → Down **Expected,down,** -1.8% to +0.5% **,Medium,Medium,0.6,up,False,Outside range,0,primary_prediction_section
W30,** Neutral → Down **Expected,down,** -1.8% to +0.5% **,Medium,Medium,0.01,down,True,Inside range,2,primary_prediction_section
