week,prediction,predicted_direction,predicted_range,confidence_raw,confidence_scoring_bucket,actual_pct,actual_direction,hit,range_result,score,prediction_source
W28,Neutral-Bullish,up,N/A,Medium,Medium,-0.89,down,False,N/A,0,sector_call_fallback
W28,Neutral-Bullish,up,N/A,Medium,Medium,-0.89,down,False,N/A,0,sector_call_fallback
W29,Neutral-Bearish,down,N/A,Medium,Medium,-0.56,down,True,N/A,2,sector_call_fallback
W29,Neutral-Bearish,down,N/A,Medium,Medium,-0.56,down,True,N/A,2,sector_call_fallback
W29,Neutral-Bearish,down,N/A,Medium,Medium,-3.93,down,True,N/A,2,sector_call_fallback
W30,Down,down,-2.0% to +0.4%,Medium,Medium,1.83,up,False,Outside range,0,sector_prediction_table
