week,prediction,predicted_direction,predicted_range,confidence_raw,confidence_scoring_bucket,actual_pct,actual_direction,hit,range_result,score,prediction_source
W28,Neutral → Up,up,-0.2% to +1.1%,Medium,Medium,-0.71,down,False,Outside range,0,primary_prediction_section
W28,Neutral → Up,up,-0.2% to +1.1%,Medium,Medium,-0.71,down,False,Outside range,0,primary_prediction_section
W29,Neutral → Down,down,-1.0% to +0.5%,Medium,Medium,-0.85,down,True,Inside range,2,primary_prediction_section
W29,Neutral → Down,down,-1.0% to +0.5%,Medium,Medium,-0.85,down,True,Inside range,2,primary_prediction_section
W29,Neutral → Down,down,-1.0% to +0.5%,Medium,Medium,1.44,up,False,Outside range,0,primary_prediction_section
W30,Neutral,neutral,-1.0% to +0.8%,Medium,Medium,-1.62,down,False,Outside range,0,sector_prediction_table
