week,prediction,predicted_direction,predicted_range,confidence_raw,confidence_scoring_bucket,actual_pct,actual_direction,hit,range_result,score,prediction_source
W28,Neutral → Up,up,0.0% to +1.2%,Medium,Medium,0.99,up,True,Inside range,2,primary_prediction_section
W28,Neutral → Up,up,0.0% to +1.2%,Medium,Medium,0.99,up,True,Inside range,2,primary_prediction_section
W29,Neutral,neutral,-0.5% to +1.0%,Medium,Medium,-0.27,down,False,Inside range,0,primary_prediction_section
W29,Neutral,neutral,-0.5% to +1.0%,Medium,Medium,-0.27,down,False,Inside range,0,primary_prediction_section
