week,prediction,predicted_direction,predicted_range,confidence_raw,confidence_scoring_bucket,actual_pct,actual_direction,hit,range_result,score,prediction_source
W28,Up,up,+0.4% to +1.4%,Medium,Medium,-1.55,down,False,Outside range,0,primary_prediction_section
W28,Up,up,+0.4% to +1.4%,Medium,Medium,-1.55,down,False,Outside range,0,primary_prediction_section
W29,Neutral → Down,down,-1.0% to +0.3%,Medium,Medium,0.69,up,False,Outside range,0,primary_prediction_section
W29,Neutral → Down,down,-1.0% to +0.3%,Medium,Medium,0.69,up,False,Outside range,0,primary_prediction_section
W29,Neutral → Down,down,-1.0% to +0.3%,Medium,Medium,0.55,up,False,Outside range,0,primary_prediction_section
