week,prediction,predicted_direction,predicted_range,confidence_raw,confidence_scoring_bucket,actual_pct,actual_direction,hit,range_result,score,prediction_source
W28,Neutral,neutral,N/A,Medium,Medium,2.18,up,False,N/A,0,sector_call_fallback
W28,Neutral,neutral,N/A,Medium,Medium,2.18,up,False,N/A,0,sector_call_fallback
W29,Neutral-Bullish,up,N/A,Medium,Medium,-0.48,down,False,N/A,0,sector_call_fallback
W29,Neutral-Bullish,up,N/A,Medium,Medium,-0.48,down,False,N/A,0,sector_call_fallback
W29,Neutral-Bullish,up,N/A,Medium,Medium,1.17,up,True,N/A,2,sector_call_fallback
W30,Neutral → Up,up,-0.6% to +1.2%,Medium,Medium,-1.92,down,False,Outside range,0,sector_prediction_table
