week,prediction,predicted_direction,predicted_range,confidence_raw,confidence_scoring_bucket,actual_pct,actual_direction,hit,range_result,score,prediction_source
W28,Neutral → Up,up,-0.3% to +1.3%,Medium,Medium,4.72,up,True,Outside range,2,primary_prediction_section
W28,Neutral → Up,up,-0.3% to +1.3%,Medium,Medium,4.72,up,True,Outside range,2,primary_prediction_section
W29,Up,up,+0.5% to +2.5%,Medium,Medium,1.42,up,True,Inside range,2,primary_prediction_section
W29,Up,up,+0.5% to +2.5%,Medium,Medium,1.42,up,True,Inside range,2,primary_prediction_section
W29,Up,up,+0.5% to +2.5%,Medium,Medium,2.64,up,True,Outside range,2,primary_prediction_section
